,Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
40,中国,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
251,美国,95.0,96.0,94.0,94.0,95.0,95.0,95.0,94.0,94.0,94.0,93.0
