93.171.192.28,8080,不支持,高匿,8.45秒
120.237.144.200,9091,不支持,普匿,1.54秒
111.72.218.180,9091,不支持,高匿,7.33秒
103.148.178.228,80,不支持,普匿,1.37秒
51.79.101.5,3128,支持,高匿,29.27秒
218.89.51.167,9091,不支持,普匿,0.14秒
182.16.177.250,3128,不支持,普匿,4.76秒
182.72.150.242,8080,不支持,高匿,12.17秒
122.15.131.65,57873,不支持,高匿,13.75秒
118.190.146.252,80,不支持,普匿,2.17秒
103.169.186.86,3125,不支持,高匿,11.54秒
114.4.104.254,3128,支持,高匿,2.11秒
167.71.236.22,8083,不支持,高匿,19.76秒
183.239.62.59,9091,不支持,普匿,0.11秒
47.254.239.76,8080,不支持,高匿,18.9秒
67.212.186.99,80,不支持,高匿,3.4秒
141.94.252.11,3128,支持,高匿,32.24秒
114.4.104.254,3128,不支持,普匿,5.11秒
103.36.35.135,8080,支持,高匿,8.07秒
103.148.178.228,80,不支持,普匿,1.34秒
103.148.72.106,80,不支持,普匿,0.13秒
218.89.51.167,9091,不支持,普匿,0.15秒
14.160.32.23,8080,不支持,高匿,2.83秒
39.130.150.42,80,不支持,高匿,0.15秒
103.148.72.106,80,不支持,普匿,0.4秒
8.209.102.180,8888,不支持,高匿,28.66秒
173.212.216.104,3128,不支持,高匿,0.68秒
47.117.2.33,8080,不支持,普匿,51.4秒
111.72.218.180,9091,不支持,普匿,7.33秒
194.67.91.153,80,不支持,高匿,21.11秒
104.248.203.46,3129,不支持,普匿,33.76秒
5.167.141.239,3128,支持,高匿,34.33秒
39.130.150.42,80,不支持,高匿,0.16秒
114.4.104.254,3128,不支持,普匿,2.11秒
123.57.139.222,8080,支持,高匿,1.15秒
222.85.127.214,9002,不支持,普匿,0.15秒
115.236.67.98,9091,不支持,普匿,0.09秒
117.141.91.123,9091,不支持,普匿,0.14秒
218.202.1.58,80,不支持,高匿,0.15秒
91.209.11.132,80,不支持,高匿,25.38秒
143.244.133.78,80,支持,高匿,6.94秒
198.59.191.234,8080,不支持,高匿,3.79秒
47.105.54.91,3128,支持,高匿,34.71秒
138.68.75.207,80,不支持,高匿,28.99秒
202.180.54.97,8080,不支持,高匿,21.38秒
93.170.122.1,8080,不支持,普匿,3.59秒
185.211.6.165,10000,不支持,高匿,11.37秒
185.15.172.212,3128,支持,高匿,32.58秒
114.4.104.254,3128,支持,高匿,5.11秒
47.254.239.76,8080,不支持,高匿,42.36秒
58.20.184.187,9091,不支持,普匿,0.13秒
185.82.96.22,9091,不支持,高匿,11.12秒
120.196.179.185,9091,不支持,普匿,1.12秒
111.229.161.172,888,支持,高匿,24.8秒
190.7.57.62,999,不支持,普匿,36.76秒
120.196.179.185,9091,不支持,普匿,0.12秒
103.145.253.237,3128,不支持,高匿,1.56秒
45.174.87.18,999,支持,高匿,7.38秒
43.155.111.39,80,不支持,高匿,17.67秒
161.200.200.226,80,不支持,高匿,45.98秒
58.20.184.187,9091,不支持,普匿,10.51秒
122.155.165.191,3128,支持,高匿,0.99秒
110.77.134.106,8080,不支持,高匿,4.6秒
208.113.134.223,80,不支持,高匿,3.05秒
183.215.23.242,9091,不支持,普匿,0.15秒
74.208.205.5,80,不支持,高匿,1.19秒
103.160.40.31,3125,不支持,高匿,6.35秒
39.130.150.43,80,不支持,高匿,0.19秒
203.89.126.250,80,不支持,高匿,0.63秒
103.197.251.202,80,不支持,高匿,0.6秒
67.212.186.102,80,不支持,高匿,16.45秒
67.212.186.101,80,不支持,高匿,26.53秒
152.89.236.8,80,不支持,高匿,2.52秒
103.148.72.106,80,不支持,普匿,0.15秒
183.215.23.242,9091,不支持,普匿,0.12秒
14.161.43.121,8080,不支持,高匿,35.02秒
39.130.150.44,80,不支持,高匿,0.16秒
118.190.146.252,80,不支持,普匿,1.94秒
103.147.77.66,3125,不支持,高匿,6.29秒
182.61.201.201,80,不支持,普匿,0.14秒
203.142.69.68,8080,不支持,高匿,6.08秒
211.103.138.117,8000,不支持,高匿,7.93秒
188.124.229.47,8080,不支持,高匿,3.23秒
146.59.83.187,80,不支持,高匿,7.42秒
47.117.2.33,8080,不支持,普匿,34.91秒
173.212.216.104,3128,不支持,高匿,0.88秒
103.148.72.106,80,不支持,普匿,0.14秒
203.77.231.90,9812,支持,高匿,16.95秒
45.173.44.9,999,支持,高匿,5.88秒
213.212.210.251,1981,不支持,高匿,10.4秒
218.75.38.154,9091,不支持,普匿,31.17秒
183.250.163.175,9091,不支持,普匿,0.13秒
58.20.184.187,9091,不支持,普匿,2.62秒
